id;start_date;end_date;language
1;2020-04-15T00:41:00;2020-04-14T22:31:15;SPANISH
2;2020-04-14T05:31:11;2020-04-15T00:35:36;SPANISH
3;2020-04-14T20:26:30;2020-04-14T07:00:39;FRENCH
4;2020-04-14T11:44:01;2020-04-14T23:15:27;FRENCH
5;2020-04-14T21:14:19;2020-04-15T02:01:18;FRENCH
6;2020-04-14T15:06:40;2020-04-15T03:14:54;FRENCH
7;2020-04-14T16:52:00;2020-04-14T10:42:51;FRENCH
8;2020-04-14T15:48:13;2020-04-15T02:04:21;SPANISH
9;2020-04-14T14:29:22;2020-04-14T11:10:45;SPANISH
10;2020-04-14T22:41:26;2020-04-14T09:15:56;SPANISH
